,dt,easting,northing,xprev,yprev,xprevprev,yprevprev
3,1252.666505,-11296427.76,7468311.278,-11295596.21,7468196.675,-11296590.29,7468217.512
4,1253.666968,-11295949.09,7468319.96,-11296427.76,7468311.278,-11295596.21,7468196.675
5,1254.666493,-11295978.03,7468326.906,-11295949.09,7468319.96,-11296427.76,7468311.278
6,1255.665162,-11296152.8,7468151.529,-11295978.03,7468326.906,-11295949.09,7468319.96
7,1256.666609,-11295932.39,7468207.094,-11296152.8,7468151.529,-11295978.03,7468326.906
8,1257.667037,-11294307.13,7466498.656,-11295932.39,7468207.094,-11296152.8,7468151.529
9,1258.666875,-11296624.8,7468259.186,-11294307.13,7466498.656,-11295932.39,7468207.094
10,1259.674051,-11296355.41,7468505.759,-11296624.8,7468259.186,-11294307.13,7466498.656
11,1260.66963,-11296001.41,7468556.116,-11296355.41,7468505.759,-11296624.8,7468259.186
12,1261.667188,-11296806.25,7467705.29,-11296001.41,7468556.116,-11296355.41,7468505.759
13,1262.665023,-11296356.52,7468507.495,-11296806.25,7467705.29,-11296001.41,7468556.116
14,1263.665961,-11296405.5,7467887.603,-11296356.52,7468507.495,-11296806.25,7467705.29
15,1264.664826,-11295946.86,7468616.893,-11296405.5,7467887.603,-11296356.52,7468507.495
16,1265.666042,-11295946.86,7468623.839,-11295946.86,7468616.893,-11296405.5,7467887.603
17,1266.663924,-11296401.05,7468497.077,-11295946.86,7468623.839,-11295946.86,7468616.893
18,1267.666551,-11297274.9,7468417.2,-11296401.05,7468497.077,-11295946.86,7468623.839
19,1268.666782,-11296326.46,7468493.604,-11297274.9,7468417.2,-11296401.05,7468497.077
20,1269.666806,-11295922.37,7468995.455,-11296326.46,7468493.604,-11297274.9,7468417.2
21,1270.666991,-11296604.76,7467210.462,-11295922.37,7468995.455,-11296326.46,7468493.604
22,1271.667025,-11295570.6,7468313.014,-11296604.76,7467210.462,-11295922.37,7468995.455
23,1272.668183,-11295947.98,7467920.593,-11295570.6,7468313.014,-11296604.76,7467210.462
24,1273.666528,-11296688.25,7468465.821,-11295947.98,7467920.593,-11295570.6,7468313.014
25,1274.666551,-11295929.05,7467778.215,-11296688.25,7468465.821,-11295947.98,7467920.593
26,1275.666215,-11295925.71,7469084.02,-11295929.05,7467778.215,-11296688.25,7468465.821
27,1276.667535,-11296431.1,7468464.084,-11295925.71,7469084.02,-11295929.05,7467778.215
28,1277.666597,-11296454.48,7468616.893,-11296431.1,7468464.084,-11295925.71,7469084.02
29,1278.667986,-11293190.59,7468207.094,-11296454.48,7468616.893,-11296431.1,7468464.084
30,1279.666424,-11295942.41,7468840.902,-11293190.59,7468207.094,-11296454.48,7468616.893
31,1280.666806,-11294058.88,7469123.961,-11295942.41,7468840.902,-11293190.59,7468207.094
32,1281.664051,-11296326.46,7468450.193,-11294058.88,7469123.961,-11295942.41,7468840.902
33,1282.665752,-11297160.25,7467720.917,-11296326.46,7468450.193,-11294058.88,7469123.961
34,1283.668588,-11296116.07,7468818.327,-11297160.25,7467720.917,-11296326.46,7468450.193
35,1284.67059,-11296322.01,7468432.828,-11296116.07,7468818.327,-11297160.25,7467720.917
36,1285.66787,-11296435.56,7468465.821,-11296322.01,7468432.828,-11296116.07,7468818.327
37,1286.6675,-11296453.37,7468090.756,-11296435.56,7468465.821,-11296322.01,7468432.828
38,1287.66463,-11295862.26,7468134.165,-11296453.37,7468090.756,-11296435.56,7468465.821
39,1288.668345,-11297212.57,7468474.503,-11295862.26,7468134.165,-11296453.37,7468090.756
40,1289.666134,-11296881.95,7470725.249,-11297212.57,7468474.503,-11295862.26,7468134.165
41,1290.669352,-11292423.6,7467795.578,-11296881.95,7470725.249,-11297212.57,7468474.503
42,1291.666366,-11296260.78,7469971.459,-11292423.6,7467795.578,-11296881.95,7470725.249
43,1292.6664,-11295818.85,7468827.01,-11296260.78,7469971.459,-11292423.6,7467795.578
44,1293.668241,-11295655.21,7470018.352,-11295818.85,7468827.01,-11296260.78,7469971.459
45,1294.666354,-11295998.07,7468132.429,-11295655.21,7470018.352,-11295818.85,7468827.01
46,1295.666366,-11293419.91,7467292.063,-11295998.07,7468132.429,-11295655.21,7470018.352
47,1296.665278,-11296699.38,7469231.63,-11293419.91,7467292.063,-11295998.07,7468132.429
48,1297.666609,-11297142.43,7468710.664,-11296699.38,7469231.63,-11293419.91,7467292.063
49,1298.665475,-11296323.12,7468641.204,-11297142.43,7468710.664,-11296699.38,7469231.63
50,1299.667477,-11296697.16,7468446.72,-11296323.12,7468641.204,-11297142.43,7468710.664
51,1300.666539,-11296998.83,7467731.335,-11296697.16,7468446.72,-11296323.12,7468641.204
52,1301.667257,-11296323.12,7468656.832,-11296998.83,7467731.335,-11296697.16,7468446.72
53,1302.667708,-11293161.65,7468387.681,-11296323.12,7468656.832,-11296998.83,7467731.335
54,1303.666516,-11297675.65,7467163.585,-11293161.65,7468387.681,-11296323.12,7468656.832
55,1304.665706,-11297507.56,7465950.086,-11297675.65,7467163.585,-11293161.65,7468387.681
56,1305.669711,-11296770.63,7468668.988,-11297507.56,7465950.086,-11297675.65,7467163.585
57,1306.669225,-11292964.61,7467500.411,-11296770.63,7468668.988,-11297507.56,7465950.086
58,1307.666366,-11292478.15,7467526.454,-11292964.61,7467500.411,-11296770.63,7468668.988
59,1308.669317,-11298103.12,7468201.884,-11292478.15,7467526.454,-11292964.61,7467500.411
60,1309.675359,-11297468.6,7470157.295,-11298103.12,7468201.884,-11292478.15,7467526.454
61,1310.665556,-11298844.51,7470014.878,-11297468.6,7470157.295,-11298103.12,7468201.884
62,1311.666262,-11297360.62,7469163.903,-11298844.51,7470014.878,-11297468.6,7470157.295
63,1312.665255,-11298032.99,7470324.03,-11297360.62,7469163.903,-11298844.51,7470014.878
64,1313.666308,-11296503.46,7469106.595,-11298032.99,7470324.03,-11297360.62,7469163.903
65,1314.667072,-11297819.26,7466915.316,-11296503.46,7469106.595,-11298032.99,7470324.03
66,1315.665718,-11293661.47,7467946.638,-11297819.26,7466915.316,-11296503.46,7469106.595
67,1316.665613,-11297158.02,7469224.684,-11293661.47,7467946.638,-11297819.26,7466915.316
68,1317.666319,-11292366.83,7468050.819,-11297158.02,7469224.684,-11293661.47,7467946.638
69,1318.667465,-11296721.65,7469314.988,-11292366.83,7468050.819,-11297158.02,7469224.684
70,1319.662315,-11297615.54,7467441.378,-11296721.65,7469314.988,-11292366.83,7468050.819
71,1320.668762,-11293792.83,7466958.719,-11297615.54,7467441.378,-11296721.65,7469314.988
72,1321.667917,-11292962.39,7468293.914,-11293792.83,7466958.719,-11297615.54,7467441.378
73,1322.664028,-11292178.7,7467948.375,-11292962.39,7468293.914,-11293792.83,7466958.719
74,1323.661574,-11293133.82,7468429.355,-11292178.7,7467948.375,-11292962.39,7468293.914
75,1324.665891,-11292109.68,7467212.198,-11293133.82,7468429.355,-11292178.7,7467948.375
76,1325.670509,-11293060.35,7467543.817,-11292109.68,7467212.198,-11293133.82,7468429.355
