,easting,northing,xprev,yprev,xprevprev,yprevprev,jday
1,-987465.6244,9053854.35,-987462.2825,9053851.694,-987465.6244,9053854.35,139.9583333
2,-987462.2825,9053851.694,-987465.6244,9053854.35,-987462.2825,9053851.694,140.9583333
3,-987465.6244,9053854.35,-987462.2825,9053851.694,-987465.6244,9053854.35,141.9583333
4,-987465.6244,9053854.35,-987465.6244,9053854.35,-987462.2825,9053851.694,142.9583333
5,-987462.2825,9053851.694,-987465.6244,9053854.35,-987465.6244,9053854.35,143.9583333
6,-987452.2569,9053843.727,-987462.2825,9053851.694,-987465.6244,9053854.35,144.9583333
7,-987465.6244,9053854.35,-987465.6244,9053854.35,-987465.6244,9053854.35,148.9583333
8,-987465.6244,9053854.35,-987465.6244,9053854.35,-987465.6244,9053854.35,149.9583333
9,-987624.4562,9053736.818,-987465.6244,9053854.35,-987465.6244,9053854.35,150.9583333
10,-987522.1867,9053350.874,-987624.4562,9053736.818,-987465.6244,9053854.35,151.9583333
11,-987593.1138,9053391.997,-987522.1867,9053350.874,-987624.4562,9053736.818,152.9583333
12,-987087.7239,9053142.816,-987593.1138,9053391.997,-987522.1867,9053350.874,153.9583333
13,-987076.9629,9053149.5,-987087.7239,9053142.816,-987593.1138,9053391.997,154.9583333
14,-987074.3526,9053132.195,-987076.9629,9053149.5,-987087.7239,9053142.816,155.9583333
15,-986744.4915,9052428.575,-987074.3526,9053132.195,-987076.9629,9053149.5,156.9583333
16,-991887.409,9046570.384,-986744.4915,9052428.575,-987074.3526,9053132.195,157.9583333
17,-991996.9342,9048392.987,-991887.409,9046570.384,-986744.4915,9052428.575,158.9583333
18,-992995.5997,9049872.513,-991996.9342,9048392.987,-991887.409,9046570.384,159.9583333
19,-992813.0855,9050184.341,-992995.5997,9049872.513,-991996.9342,9048392.987,160.9583333
20,-994086.8829,9049689.722,-992813.0855,9050184.341,-992995.5997,9049872.513,161.9583333
21,-991170.1613,9053052.098,-994086.8829,9049689.722,-992813.0855,9050184.341,162.9583333
22,-989318.8299,9051275.107,-991170.1613,9053052.098,-994086.8829,9049689.722,163.9583333
23,-989855.8679,9050894.642,-989318.8299,9051275.107,-991170.1613,9053052.098,164.9583333
24,-990732.3799,9048210.516,-989855.8679,9050894.642,-989318.8299,9051275.107,165.9583333
25,-990371.5973,9046249.861,-990732.3799,9048210.516,-989855.8679,9050894.642,166.9583333
26,-990596.3497,9046062.985,-990371.5973,9046249.861,-990732.3799,9048210.516,167.9583333
27,-986476.1263,9049475.426,-990596.3497,9046062.985,-990371.5973,9046249.861,168.9583333
28,-986399.9856,9048608.564,-986476.1263,9049475.426,-990596.3497,9046062.985,169.9583333
29,-989811.4921,9050737.536,-986399.9856,9048608.564,-986476.1263,9049475.426,170.9583333
30,-991247.2436,9050401.344,-989811.4921,9050737.536,-986399.9856,9048608.564,171.9583333
31,-982860.5541,9049121.673,-991247.2436,9050401.344,-989811.4921,9050737.536,172.9583333
32,-987618.0082,9046424.676,-982860.5541,9049121.673,-991247.2436,9050401.344,173.9583333
33,-984234.6368,9039327.599,-987618.0082,9046424.676,-982860.5541,9049121.673,174.9583333
34,-985408.3337,9041377.858,-984234.6368,9039327.599,-987618.0082,9046424.676,175.9583333
