,easting,northing,xprev,yprev,xprevprev,yprevprev,JUL
1463,252367.78,7209316.31,249637.01,7208770.91,246393.96,7202942.37,3
1464,253558.24,7209769.81,252367.78,7209316.31,249637.01,7208770.91,4
1465,252626.56,7212428.87,253558.24,7209769.81,252367.78,7209316.31,5
1466,252379.34,7208922.62,252626.56,7212428.87,253558.24,7209769.81,6
1467,247593.51,7209819.60,252379.34,7208922.62,252626.56,7212428.87,7
1468,247921.06,7208188.67,247593.51,7209819.60,252379.34,7208922.62,8
1469,247780.27,7204116.78,247921.06,7208188.67,247593.51,7209819.60,9
1470,251933.49,7209151.70,247780.27,7204116.78,247921.06,7208188.67,10
1471,250935.53,7211616.26,251933.49,7209151.70,247780.27,7204116.78,11
1472,241063.80,7218135.21,250935.53,7211616.26,251933.49,7209151.70,12
1473,232191.63,7225887.69,241063.80,7218135.21,250935.53,7211616.26,13
1474,228527.15,7226670.39,232191.63,7225887.69,241063.80,7218135.21,14
1475,228911.67,7227164.73,228527.15,7226670.39,232191.63,7225887.69,15
1476,227044.73,7229814.73,228911.67,7227164.73,228527.15,7226670.39,16
1477,227938.39,7226544.03,227044.73,7229814.73,228911.67,7227164.73,17
1478,215281.54,7226833.21,227938.39,7226544.03,227044.73,7229814.73,18
1479,185767.68,7207135.09,215281.54,7226833.21,227938.39,7226544.03,19
1480,180041.02,7203895.46,185767.68,7207135.09,215281.54,7226833.21,20
1481,176844.46,7203643.74,180041.02,7203895.46,185767.68,7207135.09,21
1482,150069.38,7174352.56,176844.46,7203643.74,180041.02,7203895.46,22
1483,147926.42,7167984.55,150069.38,7174352.56,176844.46,7203643.74,23
1484,149237.29,7163433.70,147926.42,7167984.55,150069.38,7174352.56,24
1485,148418.39,7155371.25,149237.29,7163433.70,147926.42,7167984.55,25
1486,142366.66,7150612.10,148418.39,7155371.25,149237.29,7163433.70,26
1487,138774.57,7144037.99,142366.66,7150612.10,148418.39,7155371.25,27
1488,141086.89,7142068.66,138774.57,7144037.99,142366.66,7150612.10,28
1489,139203.35,7126519.92,141086.89,7142068.66,138774.57,7144037.99,29
1490,141553.88,7124330.81,139203.35,7126519.92,141086.89,7142068.66,30
1491,142094.05,7122829.38,141553.88,7124330.81,139203.35,7126519.92,31
1492,142321.17,7123248.26,142094.05,7122829.38,141553.88,7124330.81,32
1493,144501.10,7128915.15,142321.17,7123248.26,142094.05,7122829.38,33
1494,141066.23,7133686.58,144501.10,7128915.15,142321.17,7123248.26,34
1495,132595.30,7141952.99,141066.23,7133686.58,144501.10,7128915.15,35
1496,128355.62,7158780.32,132595.30,7141952.99,141066.23,7133686.58,36
1497,124450.29,7170954.69,128355.62,7158780.32,132595.30,7141952.99,37
1498,124915.31,7171701.30,124450.29,7170954.69,128355.62,7158780.32,38
1499,122576.88,7178024.00,124915.31,7171701.30,124450.29,7170954.69,39
1500,109826.46,7191172.35,122576.88,7178024.00,124915.31,7171701.30,40
1501,105869.42,7198420.08,109826.46,7191172.35,122576.88,7178024.00,41
1502,103633.33,7204076.25,105869.42,7198420.08,109826.46,7191172.35,42
1503,98767.43,7213181.33,103633.33,7204076.25,105869.42,7198420.08,43
1504,93098.67,7218171.57,98767.43,7213181.33,103633.33,7204076.25,44
1505,92443.09,7217080.59,93098.67,7218171.57,98767.43,7213181.33,45
1506,92267.16,7218465.90,92443.09,7217080.59,93098.67,7218171.57,46
1507,87961.60,7213494.46,92267.16,7218465.90,92443.09,7217080.59,47
1508,82548.29,7204108.23,87961.60,7213494.46,92267.16,7218465.90,48
1509,81931.71,7202646.23,82548.29,7204108.23,87961.60,7213494.46,49
1510,82559.10,7201347.28,81931.71,7202646.23,82548.29,7204108.23,50
1511,81767.69,7200413.16,82559.10,7201347.28,81931.71,7202646.23,51
1512,79649.67,7200052.32,81767.69,7200413.16,82559.10,7201347.28,52
1513,78622.08,7200407.94,79649.67,7200052.32,81767.69,7200413.16,53
1514,78488.20,7200099.91,78622.08,7200407.94,79649.67,7200052.32,54
1515,77756.81,7199518.83,78488.20,7200099.91,78622.08,7200407.94,55
1516,79547.36,7198634.50,77756.81,7199518.83,78488.20,7200099.91,56
1517,98793.84,7201288.96,79547.36,7198634.50,77756.81,7199518.83,57
1518,110990.91,7199565.24,98793.84,7201288.96,79547.36,7198634.50,58
1519,117066.94,7196153.10,110990.91,7199565.24,98793.84,7201288.96,59
1520,118655.80,7196377.67,117066.94,7196153.10,110990.91,7199565.24,60
1521,118748.71,7196674.59,118655.80,7196377.67,117066.94,7196153.10,61
1522,118537.79,7196400.43,118748.71,7196674.59,118655.80,7196377.67,62
1523,118668.70,7196365.32,118537.79,7196400.43,118748.71,7196674.59,63
1524,120836.04,7196921.73,118668.70,7196365.32,118537.79,7196400.43,64
1525,122026.42,7196456.86,120836.04,7196921.73,118668.70,7196365.32,65
1526,123286.52,7194572.70,122026.42,7196456.86,120836.04,7196921.73,66
1527,123344.68,7194423.82,123286.52,7194572.70,122026.42,7196456.86,67
1528,143293.81,7183034.16,123344.68,7194423.82,123286.52,7194572.70,68
1529,149084.28,7180573.35,143293.81,7183034.16,123344.68,7194423.82,69
1530,150165.17,7178301.55,149084.28,7180573.35,143293.81,7183034.16,70
1531,162170.65,7167092.85,150165.17,7178301.55,149084.28,7180573.35,71
1532,162675.43,7166295.00,162170.65,7167092.85,150165.17,7178301.55,72
